"Horodateur","sexe","Quel age avez-vous ?","niveau d etude","Quelles est votre activiteprofessionnelle","Fumez-vous actuellement des produitsa base de tabac tels que cigarettes?","si oui Fumez-vous quotidiennement ?"
"2020/10/22 4:14:24 PM UTC+1","homme","23","universitaire","Employe dans le prive","Non","Non"
"2020/10/22 4:17:17 PM UTC+1","homme","22","universitaire","etudiant","Non","Non"
"2020/10/22 4:18:32 PM UTC+1","homme","19","universitaire","etudiant","Non",""
"2020/10/22 4:31:44 PM UTC+1","femme","23","universitaire","etudiant","Non",""
"2020/10/22 4:38:19 PM UTC+1","femme","21","universitaire","etudiant","Non",""
"2020/10/22 4:39:24 PM UTC+1","femme","19","universitaire","etudiant","Non",""
"2020/10/22 4:44:05 PM UTC+1","homme","19","universitaire","etudiant","Non",""
"2020/10/22 5:04:36 PM UTC+1","homme","19","universitaire","etudiant","Non","Non"
"2020/10/22 5:09:47 PM UTC+1","femme","21","universitaire","etudiant","Non",""
"2020/10/22 5:10:01 PM UTC+1","femme","21","universitaire","etudiant","Non","Non"
"2020/10/22 5:37:57 PM UTC+1","femme","21","universitaire","etudiant","Non","Non"
"2020/10/22 5:55:24 PM UTC+1","femme","18","universitaire","etudiant","Non",""
"2020/10/22 5:58:31 PM UTC+1","femme","18","universitaire","etudiant","Non","Non"
"2020/10/22 6:07:25 PM UTC+1","femme","20","universitaire","etudiant","Non","Non"
"2020/10/22 6:07:30 PM UTC+1","femme","18","universitaire","etudiant","Non",""
"2020/10/22 6:09:51 PM UTC+1","femme","35","universitaire","Employe de l Etat","Non","Non"
"2020/10/22 7:22:43 PM UTC+1","homme","19","universitaire","etudiant","Non",""
"2020/10/22 7:24:07 PM UTC+1","homme","20","universitaire","etudiant","Non",""
"2020/10/22 7:30:59 PM UTC+1","femme","19","universitaire","etudiant","Non",""
"2020/10/22 7:55:28 PM UTC+1","homme","19","universitaire","etudiant","Non",""
"2020/10/22 8:28:00 PM UTC+1","homme","21","universitaire","etudiant","Non","Non"
"2020/10/22 9:04:19 PM UTC+1","homme","18","universitaire","etudiant","Non","Non"
"2020/10/22 9:58:54 PM UTC+1","femme","18","universitaire","etudiant","Non",""
"2020/10/22 10:03:25 PM UTC+1","homme","19","universitaire","etudiant","oui","Non"
"2020/10/22 10:03:59 PM UTC+1","homme","19","universitaire","etudiant","Non",""
"2020/10/22 10:06:09 PM UTC+1","homme","20","universitaire","etudiant","Non","Non"
"2020/10/23 2:02:30 AM UTC+1","homme","19","universitaire","etudiant","Non",""
"2020/10/23 7:35:51 AM UTC+1","homme","21","universitaire","etudiant","Non",""
"2020/10/23 9:14:48 AM UTC+1","homme","19","universitaire","etudiant","Non",""
"2020/10/23 10:47:36 AM UTC+1","homme","20","universitaire","etudiant","Non","Non"
"2020/10/23 11:18:24 AM UTC+1","femme","18","universitaire","etudiant","Non",""
"2020/10/23 11:34:39 AM UTC+1","femme","21","universitaire","etudiant","Non",""
"2020/10/23 2:32:13 PM UTC+1","homme","21","universitaire","etudiant","Non","Non"
"2020/10/23 3:26:24 PM UTC+1","homme","20","universitaire","etudiant","oui","oui"
"2020/10/23 5:41:32 PM UTC+1","homme","24","universitaire","etudiant","Non","Non"
"2020/10/25 11:32:03 PM UTC+1","femme","20","universitaire","etudiant","Non","Non"
"2020/10/28 1:10:02 PM UTC+1","homme","23","universitaire","etudiant","Non",""
"2020/10/30 1:16:40 AM UTC+1","homme","19","universitaire","etudiant","Non",""
